molecular_trait_id	haQTL	mQTL	eQTL	pQTL
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	FALSE	FALSE
tad113	FALSE	TRUE	TRUE	FALSE
tad1130	FALSE	TRUE	FALSE	FALSE
tad1130	FALSE	TRUE	FALSE	FALSE
tad1132	FALSE	TRUE	FALSE	FALSE
tad1133	FALSE	TRUE	FALSE	FALSE
tad1133	FALSE	TRUE	FALSE	FALSE
tad1133	FALSE	TRUE	FALSE	FALSE
tad1133	FALSE	TRUE	FALSE	FALSE
tad1134	FALSE	TRUE	FALSE	FALSE
tad1134	FALSE	TRUE	FALSE	FALSE
tad1134	FALSE	TRUE	FALSE	FALSE
tad1134	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	FALSE	TRUE
tad114	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	FALSE	FALSE
tad114	FALSE	TRUE	TRUE	FALSE
tad1141	FALSE	TRUE	TRUE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	TRUE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1141	FALSE	TRUE	FALSE	FALSE
tad1142	FALSE	TRUE	FALSE	FALSE
tad1142	FALSE	TRUE	FALSE	FALSE
