molecular_trait_id.x	cs_order.x	molecular_trait_id.y	cs_order.y	n	max_effect.ha	max_effect.m	haQTL_unique_gene	mQTL_unique_gene	shared_gene	cat
tad450	1	tad450	11	5	-0.2484502637974372	0.34982919828287345	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad451	1	tad451	2	1	0.7682774564595144	-0.5976917114196107	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad451	2	tad451	1	1	-0.3804191001081577	0.8184515413632165	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad452	1	tad452	5	1	-0.3395027752165447	0.36264371858465394	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad456	3	tad456	4	4	0.1731549304644532	-0.46557843791799425	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad468	1	tad468	1	1	0.42373647291797223	-0.7135975349709855	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad470	1	tad470	4	3	0.1616946200159446	-0.18508651281051597	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad475	1	tad475	1	11	-0.2914480355835788	0.5853722477516311	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad481	1	tad481	3	2	0.22739708489898025	-0.10361644364098056	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad489	1	tad489	2	1	-0.3004800261755912	0.6104673318314752	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad489	2	tad489	8	1	0.16135091733865553	0.06839870583272475	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad507	1	tad507	1	7	0.33683495432934063	0.14211231122516824	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad517	2	tad517	1	3	-0.10469927298935144	0.34636474413156665	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad526	1	tad526	1	4	-0.34198380149267915	0.4382121896929687	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad543	2	tad543	1	1	-0.24787206161898925	0.3863461157803843	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad544	1	tad544	14	1	0.3309055910239781	-0.12656748443865337	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad544	4	tad544	2	1	0.1511098673510446	-0.5108694120134957	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad552	1	tad552	2	2	-0.24507121304071372	-0.21975092801752377	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad554	1	tad554	4	26	-0.18092234973008187	0.15248177357342932	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad561	1	tad561	8	10	0.5905705892273092	-0.4748728263791207	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad561	3	tad561	7	1	0.18095218027478097	0.6002264242743601	TRUE	FALSE	TRUE	Others, R^2 = -0.541
